category,gwp_crs,business_pct,tp_loss_cost,od_loss_cost,tplr_pct,odlr_pct,coa,or_val
DATSUN,0.069145,1.008018721e-05,315831.6884,210956.2027,2.004258729e-05,6.187217686e-06,0.1589380525,0.9207977547
FERRARI,6.836847,0.0009966982095,576769.431,39431138.81,3.660162071e-05,0.001156491425,0.3000927594,0.8852828531
FIAT,2.141025701,0.0003121258209,13580498.19,6045737.778,0.0008618144742,0.0001773178282,0.1822553398,1.098757041
FORCE MOTOR,0.0007948,1.158685776e-07,20918.57929,2.50618146,1.327486971e-06,0,0,2.632245279
FORCE MOTOR LTD,0.5383771026,7.848639793e-05,1921794.76,2173430.748,0.0001219565377,6.37454078e-05,0.1889495996,0.9497659242
FORCE MOTORS,0.0010312,1.503317529e-07,6981.49522,2165,4.430436606e-07,6.349813906e-08,0.004151474011,0.986272726
FORD,32.08784294,0.004677872067,137089704.7,119334699.1,0.008699672876,0.003500014467,0.1480568227,0.9471978828
GM,3.561864152,0.0005192603582,21992641.93,5725906.115,0.001395646675,0.0001679373592,0.1508574594,0.9290826678
HILLMAN CAR,0.0004688,6.834321737e-08,7981.074161,0.0004816,5.064766502e-07,0,0.01293643345,1.715384096
HM,0.0511895,7.462574926e-06,399214.1031,35039.40003,2.533401113e-05,1.027684386e-06,0.2304876408,1.078812987
HONDA,214.1425466,0.03121841001,440953519.1,1143168183,0.02798278236,0.03352843059,0.179529035,0.9192854724
HUMMER,0.3416456,4.980622761e-05,71947.18825,1250485.238,4.565747687e-06,3.667597484e-05,0.2313433793,0.6184206389
HYUNDAI,1080.961835,0.1575861981,2405301550,5439709519,0.1526397383,0.1595433864,0.2637954383,0.9895520507
HYUNDAI MOTORS INDIA,0.1773971,2.586153704e-05,881490.6203,657067.527,5.593913896e-05,1.92713927e-05,0.1442634972,1.011559607
ISUZU MOTORS,0.001757,2.561412818e-07,5898.337891,7685.660156,3.743068108e-07,2.254157586e-07,0,0.7775614223
ISUZU MOTORS LTD,2.0377301,0.000297067046,4796162.919,8952044.464,0.000304363107,0.0002625580435,0.1802453687,0.8549443418
